a;ö
abracadabra;ÄbröködÄbrö
abraham;EIbröhÄm
abrahamian;ÄbröhEImiön
abrahams;EIbröhÄmz
abrahamsen;äbröhÄmsön
abrahamson;öbrÄhömsön
abram;öbrÄm
abram's;EIbrömz
abramczyk;Ábrömčik
abramo;abrÁmou
abramovitz;öbrÁmövits
abramowicz;öbrÁmövič
abramowitz;öbrÁmöwits
abrams;EIbrömz
abrams's;EIbrömziz
abramson;EIbrömsön
abrasion;öbrEIžön
abrasions;öbrEIžönz
abrasive;öbrEIsiv
abrasives;öbrEIsivz
abraxa;öbrÄksö
abraxa's;öbrÄksöz
abraxas;öbrÄksöz
abreast;öbrEst
abrego;abrEgou
abreu;öbrU
abridge;öbrIdž
abridged;öbrIdžd
abridgement;öbrIdžmönt
abridges;öbrIdžöz
abridging;öbrIdžin
abril;öbrIl
abroad;öbrOd
abrogate;ÄbrögEIt
abrogated;ÄbrögEItid
abrogating;ÄbrögEItin
abrogation;ÄbrögEIšön
abrol;öbrOUl
abron;öbrÁn
abrupt;öbrApt
abruptly;öbrAptli
abruptness;öbrAptnös
abrutyn;EIbrutin
abruzzese;abrutsEIzi
abruzzo;abrUzou
abs;EIbÍEs
abs(1);Äbz
absalom;Äbsölöm
absaraka;äbsÁrökö
abscam;Äbskäm
abscess;ÄbsEs
abscond;äbskÁnd
absconded;äbskÁndöd
absconding;äbskÁndin
absconds;äbskÁndz
absecon;Äbsökon
absence;Äbsöns
absences;Äbsönsiz
absent;Äbsönt
absentee;ÄbsöntÍ
absenteeism;ÄbsöntÍizöm
absentees;ÄbsöntÍz
absentia;äbsEnšö
absher;Äbšör
abshier;Äbšiör
abshire;ÄbšAIr
absinthe;Äbsint
abso;Äbsou
absolom;Äbsölöm
absolut;ÄbsölUt
absolut's;ÄbsölUts
absolute;ÄbsölUt
absolutely;ÄbsölUtli
absoluteness;ÄbsölUtnös
absolutes;ÄbsölUts
absolution;ÄbsölUšön
absolutism;ÄbsölUtIzöm
absolutist;äbsölUtist
absolve;öbzÁlv
absolve(1);äbzÁlv
absolved;öbzÁlvd
absolved(1);äbzÁlvd
absolves;öbzÁlvz
absolves(1);äbzÁlvz
absolving;öbzÁlvin
absolving(1);äbzÁlvin
absorb;öbzOrb
absorbed;öbzOrbd
absorbency;öbzOrbönsi
absorbent;öbzOrbönt
absorber;öbzOrbör
absorbers;öbzOrbörz
absorbing;öbzOrbin
absorbs;öbzOrbz
absorption;öbzOrpšön
absorption(1);öbsOrpšön
abstain;öbstEIn
abstain(1);äbstEIn
abstained;öbstEInd
abstained(1);äbstEInd
abstaining;öbstEInin
abstaining(1);äbstEInin
abstention;öbstEnčön
abstention(1);äbstEnčön
abstentions;öbstEnčönz
abstentions(1);äbstEnčönz
abstinence;Äbstönöns
abstinent;Äbstönönt
abston;Äbstön
abstract;äbstrÄkt
abstract(1);ÄbstrÄkt
abstracted;ÄbstrÄktid
abstraction;äbstrÄkšön
abstractions;äbstrÄkšönz
abstracts;Äbsträkts
abstruse;öbstrUs
absurd;öbsÖRd
absurdist;öbsÖRdist
absurdities;öbsÖRdötiz
absurdity;öbsÖRdöti
absurdly;öbsÖRdli
abt;Äbt
abt(1);EIbÍtÍ
abts;Äbts
abts(1);EIbÍtÍz
abts(2);EIbÍtÍEs
abu;Äbu
abudrahm;öbAdröm
abuellah;öbwElö
abuellah's;öbwElöz
abuladze;ÄbjulÄdzi
abundance;öbAndöns
abundant;öbAndönt
abundantly;öbAndöntli
aburto;öbUrtOU
aburto's;öbUrtOUz
abuse;öbjUs
abuse(1);öbjUz
abused;öbjUzd
abuser;öbjUzör
abusers;öbjUzörz
abuses;öbjUsiz
abuses(1);öbjUziz
abusing;öbjUzin
abusive;öbjUsiv
abut;öbAt
abuts;öbAts
abutted;öbAtöd
abutting;öbAtin
abuzz;öbAz
abysmal;öbIzmöl
abysmally;öbIzmöli
abyss;öbIs
abyssinia;äbsInÍö
abyssinian;äbsInÍön
abzug;Äbzag
abzug(1);ÄbzUg
ac;EIsÍ
aca;Äkö
acacia;ökEIšö
academe;ÄködÍm
academia;ÄködÍmiö
academic;ÄködEmik
academically;ÄködEmikli
academician;ÄködömIšön
academicians;ÄködömIšönz
academicians(1);ökÄdömIšönz
academics;ÄködEmiks
academies;ökÄdömiz
academy;ökÄdömi
academy's;ökÄdömiz
acadia;ökEIdiö
acampo;ökÁmpou
acampora;ökÄmpörö
acampsia;ökÄmpsjö
acantha;akÁndö
acapulco;ÄköpUlkou
acary;Äköri
accardi;akÁrdi
accardo;akÁrdou
accede;äksÍd
acceded;äksÍdid
accedes;äksÍdz
acceding;äksÍdin
accel;öksEl
accelerant;äksElörönt
accelerants;äksElörönts
accelerate;äksElörEIt
accelerated;äksElörEItid
accelerates;äksElörEIts
accelerating;äksElörEItin
acceleration;ÄksElörEIšön
accelerator;äksElörEItör
accelerators;äksElörEItörz
accelerometer;äksElörÁmötör
accelerometers;äksElörÁmötörz
accent;öksEnt
accent(1);ÄksEnt
accented;Äksentid
accenting;Äksentin
accents;Äksents
accentuate;äksEnčueit
accentuated;äksEnčuEItid
accentuates;äksEnčuEIts
accentuating;äksEnčuEItin
accept;äksEpt
accept(1);öksEpt
acceptability;öksEptöbIlöti
acceptable;äksEptöböl
acceptable(1);öksEptöböl
acceptably;äksEptöbli
acceptably(1);öksEptöbli
acceptance;äksEptöns
acceptance(1);öksEptöns
acceptances;äksEptönsiz
accepted;äksEptid
accepting;äksEptin
accepting(1);öksEptin
accepts;äksEpts
access;ÄksEs
accessed;ÄksEst
accessibility;ÄksesöbIliti
accessible;äksEsöböl
accessing;ÄksEsin
accession;öksEšön
accessories;äksEsöriz
accessorize;äksEsörAIz
accessorized;äksEsörAIzd
accessory;äksEsöri
accetta;ačEtö
accident;Äksödönt
accident's;Äksödönts
accidental;ÄksödEntöl
accidental(1);ÄksödEnöl
accidentally;ÄksödEntöli
accidentally(1);ÄksödEnöli
accidently;Äksödöntli
accidents;Äksödönts
accion;Äčiön
accival;ÄsivÁl
acclaim;öklEIm
acclaim's;öklEImz
acclaimed;öklEImd
acclaiming;öklEImin
acclaims;öklEImz
acclamation;ÄklömEIšön
acclimate;ÄklömEIt
acclimated;ÄklömEItid
acclimation;ÄklömEIšön
acco;Äkou
accokeek;Äkoukik
accola;akOUlö
accolade;ÄkölEId
accolades;ÄkölEIdz
accomando;akoumÁndou
accommodate;ökÁmödEIt
accommodated;ökÁmödEItöd
accommodates;ökÁmödEIts
accommodating;ökÁmödEItin
accommodation;ökÁmödEIšön
accommodations;ökÁmödEIšönz
accommodative;ökÁmödEItiv
accompanied;ökAmpönid
accompanies;ökAmpöniz
accompaniment;ökAmpnimönt
accompaniment(1);ökAmpnimönt
accompaniments;ökAmpnimönts
accompaniments(1);ökAmpnimönts
accompanist;ökAmpönöst
accompany;ökAmpöni
accompanying;ökAmpöniin
accompli;ÁkÁmpli
accompli(1);ökÁmpli
accomplice;ökÁmplös
accomplices;ökÁmplösöz
accomplish;ökÁmpliš
accomplished;ökÁmplišt
accomplishes;ökÁmplišiz
accomplishing;ökÁmplišin
accomplishment;ökÁmplišmönt
accomplishments;ökÁmplišmönts
accor;ÄkOr
accor's;Äkörz
accord;ökOrd
accord's;ökOrdz
accordance;ökOrdöns
accorded;ökOrdid
according;ökOrdin
accordingly;ökOrdinli
accordion;ökOrdiön
accordions;ökOrdiönz
accords;ökOrdz
accost;ökOst
accosted;ökÁstöd
accosting;ökÁstin
account;ökAUnt
account's;ökAUnts
accountability;ökAUntöbIliti
accountable;ökAUntöböl
accountancy;ökAUntöntsÍ
accountant;ökAUntönt
accountant's;ökAUntönts
accountants;ökAUntönts
accountants';ökAUntönts
accounted;ökAUntid
accountemp;ökAUntEmp
accountemps;ökAUntEmps
accounting;ökAUntin
accounting(1);ökAUnin
accounts;ökAUnts
accouterment;ökUtörmönt
accouterments;ökUtörmönts
accoutrement;ökUtörmönt
accoutrements;ökUtörmönts
accra;ÁkrÁ
accredit;ökrEdIt
accreditation;ökrEdötEIšön
accreditations;ökrEdötEIšönz
accredited;ökrEditid
accrediting;ökrEdötin
accreted;ökrÍtid
accretion;ökrÍšön
accrual;ökrUöl
accruals;ökrUölz
accrue;ökrU
accrued;ökrUd
accrues;ökrUz
accruing;ökrUin
accu;Äkju
accuhealth;ÄkjuhElt
accumulate;ökjUmjölEIt
accumulated;ökjUmjölEItid
accumulates;ökjUmjölEIts
accumulating;ökjUmjölEItin
accumulation;ökjUmjölEIšön
accumulations;ökjUmjölEIšönz
accumulative;ökjUmjölEItiv
accumulatively;ökjUmjölEItivli
accumulatively(1);ökjUmjölötIvli
accumulator;ökjUmjölEItör
accumulators;ökjUmjölEItörz
accuracies;Äkjörösiz
accuracy;Äkjörösi
accurate;Äkjöröt
accurately;Äkjörötli
accuray;ÄkjörEI
accuray's;ÄkjörEIz
accuride;ÄkjörAId
accurso;akUrsou
accusation;ÄkjözEIšön
accusation(1);ÄkjuzEIšön
accusations;ÄkjözEIšönz
accusations(1);ÄkjuzEIšönz
accusative;ökjUzötiv
accusatory;ökjUzötOri
accuse;ökjUz
accused;ökjUzd
accuser;ökjUzör
accusers;ökjUzörz
accuses;ökjUziz
accusing;ökjUzin
accusingly;ökjUzinli
accustom;ökAstöm
accustomed;ökAstömd
accutane;ÄkjutEIn
ace;EIs
acecomm;EIskam
aced;EIst
acer;EIsör
acerbic;ösErbik
acero;ösErou
acero(1);ösjErou
acero(2);ötErou
acerra;ösErö
aces;EIsiz
acetaminophen;ösÍtömInöfön
acetate;ÄsötEIt
acetic;ösEtik
acetic(1);ösÍtik
aceto;asEtou
acetochlor;asEtouklOr
acetone;ÄsötOUn
acetosyringone;ösEtousIringon
acetylcholine;ösEtölkOUlin
acetylcholine(1);ösÍtölkOUlin
acetylene;ösEtölÍn
acevedo;äsövEIdou
aceves;asEIves
acey;EIsi
achaean;öčÍön
achatz;Äköts
ache;EIk
achebe;ačEIbi
ached;EIkt
achee;öčÍ
achenbach;Äkinbak
achenbaum;ÄkönbAUm
aches;EIks
acheson;Äčösön
acheson's;Äčösönz
achesons;Äčösönz
achey;Äči
achieva;öčÍvö
achievable;öčÍvöböl
achieve;öčÍv
achieved;öčÍvd
achievement;öčÍvmönt
achievements;öčÍvmönts
achiever;öčÍvör
achievers;öčÍvörz
achieves;öčÍvz
achieving;öčÍvin
achille;ökIli
achilles;ökIliz
achilles';ökIliz
aching;EIkin
achingly;EIkinli
achmed;Áhmed
achoa;öčOUö
achoa's;öčOUöz
achoo;ÁčU
achor;EIkör
achord;Äkord
achorn;Äkörn
achtenberg;Äktenbörg
achterberg;Äktörbörg
achy;EIki
acid;Äsöd
acidic;ösIdik
acidification;ösIdöfökEIšön
acidified;ösIdöfAId
acidifies;ösIdöfAIz
acidify;ösIdöfAI
acidity;ösIdöti
acidly;Äsödli
acidosis;ÄsödOUsös
acids;Äsödz
aciduria;ÄsödUriö
acierno;asIrnou
ack;Äk
acker;Äkör
acker's;Äkörz
ackerley;Äkörli
ackerly;Äkörli
ackerman;Äkörmön
ackermann;Äkörmön
ackermanville;Äkörmönvil
ackerson;Äkörsön
ackert;Äkört
ackhouse;ÄkhAUs
ackland;Äklönd
ackles;Äkölz
ackley;Äkli
acklin;Äklin
ackman;Äkmön
acknowledge;äknÁlidž
acknowledgeable;äknÁlidžöböl
acknowledged;äknÁlidžd
acknowledgement;äknÁlidžmönt
acknowledgements;äknÁlidžmönts
acknowledges;äknÁlidžiz
acknowledging;äknÁlidžin
acknowledgment;äknÁlidžmönt
ackroyd;ÄkrOId
ackroyd's;ÄkrOIdz
acmat;Äkmät
acmat's;Äkmäts
acme;Äkmi
acme's;Äkmiz
acne;Äkni
acocella;akoučElö
acoff;Äkof
acog;ökOg
acolyte;ÄkölAIt
acolytes;ÄkölAIts
acord;ökOrd
acordia;ökOrdiö
acorn;EIkorn
acorn's;EIkornz
acorns;EIkornz
acosta;ökOstö
acott;EIkot
acoustic;ökUstik
acoustical;ökUstiköl
acoustically;ökUstikli
acoustics;ökUstiks
acquaint;ökwEInt
acquaintance;ökwEIntöns
acquaintances;ökwEIntönsiz
acquaintanceship;ökwEIntönsšip
acquainted;ökwEIntid
acquainted(1);ökwEInid
acquaviva;akwavÍvö
acquiesce;ÄkwiEs
acquiesced;ÄkwiEst
acquiescence;ÄkwiEsöns
acquiescing;ÄkwiEsin
acquire;ökwAIör
acquired;ökwAIörd
acquirer;ökwAIörör
acquirer's;ökwAIörörz
acquirers;ökwAIörörz
acquires;ökwAIörz
acquiring;ökwAIrin
acquiring(1);ökwAIörin
acquisition;ÄkwözIšön
acquisition's;ÄkwözIšönz
acquisitions;ÄkwözIšönz
acquisitive;ökwIzötiv
acquit;ökwIt
acquitaine;ÄkwitEIn
acquits;ökwIts
acquittal;ökwItöl
acquittals;ökwItölz
acquitted;ökwItid
acquitting;ökwItin
acre;EIkör
acreage;EIköridž
acreage(1);EIkridž
acree;ökrÍ
acres;EIkörz
acrey;Äkri
acri;Ákri
acrid;Äkrid
acrimonious;ÄkrömOUniös
acrimony;ÄkrimOUni
acro;Äkrou
acrobat;ÄkröbÄt
acrobatic;ÄkröbÄtik
acrobatics;ÄkröbÄtiks
acrobats;ÄkröbÄts
acrolein;ÄkroulÍn
acronym;Äkrönim
acronyms;Äkrönimz
acropolis;ökrÁpölös
across;ökrOs
acrylic;ökrIlik
acrylics;ökrIliks
act;Äkt
act's;Äkts
actava;ÄktÁvö
actava's;ÄktÁvöz
actavas;ÄktÁvöz
acted;Äktid
actel;Äktel
actigall;Äktigol
actin;Äktön
acting;Äktin
actinide;ÄktinAId
actinidia;ÄktinIdiö
actinomycosis;ÄktInoumAIkOUsis
action;Äkšön
action's;Äkšönz
actionable;Äkšönöböl
actions;Äkšönz
activase;ÄktivEIz
activate;ÄktövEIt
activated;ÄktivEItid
activates;ÄktövEIts
activating;ÄktövEItin
activation;ÄktövEIšön
activator;ÄktövEItör
active;Äktiv
active's;Äktivz
actively;Äktivli
actives;Äktivz
activision;ÄktivIžön
activism;ÄktivIzöm
activist;Äktivist
activists;Äktivists
activists';Äktivists
activities;äktIvitiz
activity;äktIviti
actmedia;äktmÍdiö
actodine;ÄktoudAIn
acton;Äktön
actor;Äktör
actor's;Äktörz
actors;Äktörz
actors';Äktörz
actress;Äktrös
actress's;Äktrösiz
actresses;Äktrösiz
acts;Äkts
acts(1);Äks
actual;Äkčöwöl
actual(1);Äkšöl
actuality;ÄkčuÄlötÍ
actualize;ÄkčUölAIz
actually;ÄkčUöli
actually(1);Äkčli
actually(2);Äkšöli
actuarial;ÄkčUEriöl
actuaries;ÄkčUErÍz
actuary;ÄkčuErÍ
actuate;ÄkčUEIt
actuator;ÄktjuEItör
actuator(1);ÄkčuEItör
actuators;ÄktjuEItörz
actuators(1);ÄkčuEItörz
actus;Äktös
acuff;ökAf
acuity;ökjUöti
acumen;ökjUmön
acuna;akUnö
acupuncture;Äkjupankčör
acura;Äkjörö
acura's;Äkjöröz
acuras;Äkjöröz
acuson;ÄkjUsön
acustar;ÄkjustÁr
acusyst;Äkjusist
acute;ökjUt
acutely;ökjUtli
acuteness;ökjUtnös
acyclovir;ösIklouvIr
ad;Äd
ad's;Ädz
ad-hoc;ÄdhÁk
ad-lib;ÄdlIb
ad-nauseam;ÄdnOziam
ad-nauseum;ÄdnOziöm
ada;EIdö
ada's;EIdöz
adabel;Ädöbel
adabelle;Ädöböl
adachi;adÁki
adage;Ädödž
adagio;ödÁžiOU
adah;Äda
adair;ödEr
adaire;adEr
adak;ödÄk
adalah;adÁlö
adalia;adÁliö
adam;Ädöm
adam's;Ädömz
adamant;Ädömönt
adamantly;Ädömöntli
adamcik;Ádömčik
adamczak;Ádömčäk
adamczyk;Ádömčik
adame;adÁmi
adamec;ödÁmek
adamek;ödÁmek
adames;ödEImz
adami;adÁmi
adamik;ödÁmik
adamina;adamÍnö
adamkus;Ädömkös
adamo;adÁmou
adamowicz;ödÁmövič
adams;Ädömz
adams';Ädömz
adams's;Ädömziz
adamski;ödÄmskÍ
adamson;Ädömsön
adamstown;ÄdömstAUn
adan;EIdön
adapso;ödÄpsou
adapt;ödÄpt
adaptability;ödÄptöbIlöti
adaptable;ödÄptöböl
adaptaplex;ödÄptöplEks
adaptation;ÄdöptEIšön
adaptations;ÄdäptEIšönz
adaptations(1);ÄdöptEIšönz
adaptec;ödÄptEk
adaptec's;ödÄptEks
adapted;ödÄptid
adapter;ödÄptör
adapters;ödÄptörz
adapting;ödÄptin
adaptive;ödÄptiv
adaptor;ödÄptör
adaptors;ödÄptörz
adapts;ödÄpts
adar;ödÁr
adarand;ÄdörÄnd
adas;EIdöz
aday;ödEI
adaza;ödÁzö
adcock;ödkÁk
adcox;ödkÁks
add;Äd
addair;ödEr
addams;Ädömz
added;Ädid
addendum;ödEndöm
addendums;ödEndömz
addeo;Ádiou
adder;Ädör
adderley;ödÖRli
addicks;Ädiks
addict;ödIkt
addict(1);ÄdIkt
addicted;ödIktid
addicting;ödIktin
addiction;ödIkšön
addictions;ödIkšönz
addictive;ödIktiv
addicts;ödIkts
addicts(1);ÄdIkts
addidas;ödÍdös
addidas';ödÍdös
addidas's;ödÍdösiz
addidases;ödÍdösiz
addie;Ädi
adding;Ädin
addington;Ädintön
addis;Ádis
addis-ababa;ÁdisöbÁba
addis-ababa(1);ÁdisöbÁba
addison;Ädisön
addison's;Ädisönz
addition;ödIšön
additional;ödIšönöl
additionally;ödIšönali
additions;ödIšönz
additive;Äditiv
additives;Äditivz
addle;Ädöl
addled;Ädöld
addleman;Ädölmön
address;ÄdrEs
address(1);ädrEs
addressable;ädrEsöböl
addressed;ödrEst
addressee;ÄdresÍ
addresses;ÄdrEsiz
addresses(1);ädrEsiz
addressing;ädrEsin
adds;Ädz
adduci;adUči
adduct;Ädökt
addwest;ÄdwEst
addy;Ädi
addyston;Ädistön
ade;EId
adee;ödÍ
adel;ödEl
adela;ödElö
adelaar;ÄdölÁr
adelaide;ÄdölEId
adelanto;ädölÁntou
adelbert;ödElbört
adele;ödEl
adele's;ödElz
adeline;ÄdölAIn
adelizzi;ÄdölÍzi
adell;ödEl
adell's;ödElz
adelle;ödEl
adelman;Ädölmön
adelman(1);Edölmön
adelmann;Ädölmön
adelpha;ödElfö
adelphi;ödElfi
adelphia;ödElfiö
adelphia's;ödElfiöz
adelsberger;Ädilzbörgör
adelson;Ädölsön
adelstein;Ädölstain
adelstein(1);Ädölstin
aden;EIdön
adena;Ädinö
adenauer;EIdönAUr
adenauer(1);ÄdönAUr
adenine;ÄdönÍn
adenoid;ÄdönOId
adenoids;ÄdönOIdz
adenoscan;ödEnöskÄn
adenosine;ödEnösÍn
adenovirus;ödEnövAIrös
adept;ödEpt
adequacy;Ädökwösi
adequate;Ädökwöt
adequate(1);ÄdökwEIt
adequately;Ädökwitli
ader;EIdör
aderhold;Ädörhould
aderholt;Ädörhoult
aderman;Ädörmön
ades;EIdz
adey;EIdi
adger;Ädžör
adham;Ädhäm
adhere;ödhIr
adhered;ädhIrd
adherence;ödhIröns
adherent;ödhIrönt
adherents;ädhIrönts
adheres;ödhIrz
adhering;ödhIrin
adhesion;ädhÍžön
adhesive;ädhÍsiv
adhesive(1);ödhÍsiv
adhesives;ädhÍsivz
adhesives(1);ödhÍsivz
adia;Ádiö
adid;ödId
adidas;ödÍdös
adidas's;ödÍdösiz
adieu;ödU
adin;ödIn
adina;adÍnö
adine;adÍni
adinolfi;adinOUlfi
adios;ÁdiOUs
adipose;ÄdöpOUs
adirondack;ÄdörÁndäk
adisq;ödIsk
adisq(1);EIdisk
adjacent;ödžEIsönt
adjani;äddžÁni
adjective;Ädžiktiv
adjectives;Ädžiktivz
adjoin;ödžOIn
adjoining;ödžOInin
adjoins;ödžOInz
adjourn;ödžÖRn
adjourned;ödžÖRnd
adjourning;ödžÖRnin
adjournment;ödžÖRnmönt
adjourns;ödžÖRnz
adjudge;ödžAdž
adjudged;ödžAdžd
adjudicate;ödžUdikEIt
adjudicated;ödžUdökEItid
adjudicating;ödžUdikEItin
adjudication;ödžUdökEIšön
adjunct;Ädžankt
adjuncts;Ädžankts
adjust;ödžAst
adjustable;ödžAstöböl
adjustables;ödžAstöbölz
adjusted;ödžAstid
adjuster;ödžAstör
adjusters;ödžAstörz
adjusting;ödžAstin
adjustment;ödžAstmönt
adjustments;ödžAstmönts
adjusts;ödžAsts
adjutant;Ädžötönt
adkins;Ädkinz
adkinson;Ädkinsön
adkison;Ädkisön
adkisson;Ädkisön
adl-tabataba;ÁdöltÁbötÁbö
adl-tabatabai;ÁdöltÁbötabAI
adlai;adlÁi
adler;Ädlör
adler's;Ädlörz
adlers;Ädlörz
adley;Ädli
adlon;Ädlan
adlong;Ädlon
adman;Ädmön
admen;Ädmön
admin;Ädmin
administer;ödmInistör
administered;ödmInistörd
administering;ädmInistÖRin
administers;ädmInistörz
administrate;ädmInistrEIt
administrating;ödmInistrEItin
administration;ädmInistrEIšön
administration's;ädmInistrEIšönz
